epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
87,7470.21,0.6291,0.45817,0.92627,0.95975,0.93807,0.97427,0.84977,0.59369,0.37552,0.88163,0.001486,0.001486,0.001486
88,7554.3,0.62381,0.45558,0.92657,0.96127,0.93722,0.97432,0.85004,0.59278,0.37482,0.88113,0.001387,0.001387,0.001387
89,7638.21,0.62443,0.45205,0.92714,0.96012,0.93785,0.97447,0.85086,0.59194,0.37359,0.88074,0.001288,0.001288,0.001288
90,7721.98,0.61882,0.44646,0.92514,0.96078,0.9383,0.9746,0.84996,0.59125,0.37301,0.88017,0.001189,0.001189,0.001189
91,175.703,0.58284,0.37067,0.89573,0.96118,0.93755,0.97482,0.84983,0.59139,0.37329,0.88006,0.00109,0.00109,0.00109
92,315.929,0.57299,0.36098,0.89029,0.96141,0.93695,0.97461,0.85002,0.59191,0.37325,0.87994,0.000991,0.000991,0.000991
93,454.699,0.5649,0.35426,0.88717,0.9647,0.93537,0.9747,0.85036,0.59203,0.37256,0.87993,0.000892,0.000892,0.000892
94,594.478,0.56334,0.35141,0.88521,0.96799,0.93469,0.97463,0.85007,0.59196,0.3718,0.87997,0.000793,0.000793,0.000793
95,733.334,0.55851,0.34585,0.8864,0.96816,0.9347,0.97486,0.85116,0.59162,0.37037,0.87989,0.000694,0.000694,0.000694
96,872.619,0.55308,0.34362,0.88629,0.96775,0.93523,0.97513,0.85161,0.59118,0.37015,0.8795,0.000595,0.000595,0.000595
97,1011.34,0.55052,0.34044,0.88284,0.96674,0.93655,0.97529,0.85171,0.59098,0.36998,0.87909,0.000496,0.000496,0.000496
98,1150.18,0.54765,0.33797,0.88105,0.96633,0.93684,0.97529,0.85186,0.59073,0.3698,0.8787,0.000397,0.000397,0.000397
99,1289.61,0.54574,0.33656,0.88003,0.96584,0.93747,0.9753,0.85223,0.59092,0.36948,0.87882,0.000298,0.000298,0.000298
100,1426.81,0.54059,0.33111,0.8782,0.96497,0.93787,0.9754,0.85203,0.59077,0.36898,0.87873,0.000199,0.000199,0.000199
